country,both60,male60,female60,both_atbirth,male_atbirth,female_atbirth
Greece,81.1,78.64,83.57,23.84,22.07,25.52
Grenada,72.88,70.63,75.33,18.73,17.16,20.34
Guatemala,72.02,68.95,75.04,20.47,19.4,21.43
Guinea,61.01,59.48,62.25,16.54,15.62,17.16
Guinea-Bissau,60.22,57.36,62.98,15.5,13.92,16.72
Guyana,65.69,62.45,69.39,16.55,15.1,18.1
Haiti,64.05,63.34,64.76,16.77,16.5,17.01
Honduras,71.94,70.67,73.16,18.35,17.54,19.08
Hungary,76.44,73.09,79.59,20.22,17.72,22.27
Iceland,82.33,80.81,83.87,24.64,23.71,25.54
India,70.79,69.52,72.17,18.82,18.11,19.54
Indonesia,71.31,69.4,73.3,17.94,16.73,19.13
Iraq,72.42,69.93,74.97,19.18,17.62,20.66
Ireland,81.84,80.2,83.48,24.19,23.01,25.33
Israel,82.62,80.79,84.36,24.9,23.62,26.03
Italy,82.97,80.91,84.9,25.04,23.36,26.53
Jamaica,75.98,74.36,77.68,21.32,20.07,22.63
Japan,84.26,81.49,86.94,26.35,23.95,28.56
Jordan,77.87,77.02,78.78,21.81,21.56,22.07
Kazakhstan,73.95,69.98,77.61,19.46,16.84,21.44
Kenya,66.09,63.7,68.44,17.64,15.99,19.09
Kiribati,59.42,56.14,62.8,13.69,12.5,14.64
Kuwait,80.97,79.25,83.95,23.96,22.82,25.9
Kyrgyzstan,74.18,70.75,77.31,20.01,17.78,21.67
Latvia,75.38,70.58,79.84,20.53,17.25,22.95
Lebanon,76.44,74.03,79.15,20.53,18.76,22.4
Lesotho,50.75,47.66,54.24,13.43,11.22,15.24
Liberia,64.08,63.15,65.0,17.75,17.43,18.02
Libya,75.78,74.21,77.34,21.26,20.55,21.89
Lithuania,75.99,71.23,80.43,20.93,17.58,23.46
Luxembourg,82.41,80.62,84.2,24.4,22.91,25.81
Madagascar,65.35,64.1,66.6,16.76,16.15,17.33
Malawi,65.62,62.31,68.93,17.24,15.13,19.03
Malaysia,74.72,72.61,77.08,19.5,18.49,20.56
Maldives,79.59,78.63,80.76,22.15,21.39,23.05
Mali,62.8,62.2,63.4,17.46,17.35,17.56
Malta,81.89,79.94,83.8,24.49,22.99,25.86
Mauritania,68.38,68.08,68.73,18.98,19.12,18.87
Mauritius,74.07,70.95,77.32,20.29,18.45,21.97
Mexico,76.01,73.13,78.86,21.84,20.5,23.06
Mongolia,68.1,63.82,72.76,16.41,14.16,18.51
Montenegro,75.88,73.15,78.65,19.44,17.44,21.32
Morocco,72.99,71.68,74.31,18.67,17.74,19.59
Mozambique,58.14,54.46,61.73,15.8,13.34,17.83
Namibia,64.58,60.58,68.45,17.24,14.68,19.25
Nepal,70.88,68.88,72.75,18.01,16.8,19.15
Netherlands,81.79,80.4,83.15,24.08,22.96,25.13
New Zealand,81.96,80.36,83.52,24.83,23.75,25.84
Nicaragua,75.04,72.07,77.93,20.03,18.04,21.87
Niger,63.29,62.06,64.56,17.19,16.59,17.79
Nigeria,62.62,61.2,64.1,18.24,17.59,18.86
Norway,82.62,81.08,84.13,24.66,23.47,25.76
Oman,73.9,72.97,75.26,17.8,17.23,18.48
Pakistan,65.61,64.59,66.72,17.26,16.8,17.76
Panama,79.29,76.65,82.06,24.26,22.55,25.95
Papua New Guinea,65.3,63.4,67.36,16.48,15.37,17.59
Paraguay,75.81,73.08,78.85,21.78,20.15,23.5
Peru,79.9,78.46,81.34,24.38,23.66,25.05
Philippines,70.43,67.4,73.6,17.77,15.84,19.57
Poland,78.27,74.53,81.93,22.13,19.52,24.33
Portugal,81.57,78.56,84.4,24.34,22.12,26.29
Qatar,77.17,78.03,76.63,19.5,20.64,18.38
Romania,75.57,71.95,79.26,20.25,17.81,22.39
Rwanda,69.1,66.88,71.24,18.02,16.65,19.16
Saint Lucia,74.33,71.3,77.71,20.91,19.16,22.91
Samoa,70.45,69.16,71.85,17.86,17.35,18.32
Saudi Arabia,74.31,73.11,76.15,19.9,19.25,20.77
Senegal,68.58,66.82,70.14,18.15,17.18,18.92
Serbia,75.87,73.46,78.28,19.58,17.93,21.1
Seychelles,73.34,69.98,77.15,19.5,17.47,21.51
Sierra Leone,60.77,59.6,61.9,16.99,16.43,17.44
Singapore,83.22,81.05,85.45,25.54,23.78,27.22
Slovakia,78.23,74.84,81.44,21.81,19.27,23.93
Slovenia,81.31,78.59,84.06,23.82,21.84,25.64
Solomon Islands,65.25,62.87,67.87,15.47,14.71,16.28
Somalia,56.47,54.01,59.22,14.54,13.22,16.01
South Africa,65.25,62.2,68.29,19.12,17.34,20.52
South Sudan,62.79,60.83,64.84,17.79,16.61,18.93
Spain,83.22,80.68,85.68,25.39,23.28,27.34
Sri Lanka,76.87,73.8,79.81,20.76,18.64,22.63
Sudan,69.15,67.55,70.76,18.64,17.83,19.41
Suriname,71.48,68.5,74.63,18.46,16.37,20.45
Sweden,82.4,80.83,83.97,24.5,23.34,25.59
Switzerland,83.45,81.75,85.08,25.43,24.09,26.65
Tajikistan,69.5,67.58,71.55,16.12,15.1,17.19
Thailand,77.7,74.36,81.04,23.57,22.12,24.84
