country,date,confirmed
Afghanistan,October 24 2020,40768
Afghanistan,October 25 2020,40833
Afghanistan,October 26 2020,40937
Afghanistan,October 27 2020,41032
Afghanistan,October 28 2020,41145
Afghanistan,October 29 2020,41268
Afghanistan,October 30 2020,41334
Afghanistan,October 31 2020,41425
Afghanistan,November 1 2020,41501
Afghanistan,November 2 2020,41633
Afghanistan,November 3 2020,41728
Afghanistan,November 4 2020,41814
Afghanistan,November 5 2020,41935
Afghanistan,November 6 2020,41975
Afghanistan,November 7 2020,42033
Afghanistan,November 8 2020,42159
Afghanistan,November 9 2020,42297
Afghanistan,November 10 2020,42463
Afghanistan,November 11 2020,42609
Afghanistan,November 12 2020,42795
Afghanistan,November 13 2020,42969
Afghanistan,November 14 2020,43035
Afghanistan,November 15 2020,43240
Afghanistan,November 16 2020,43468
Afghanistan,November 17 2020,43681
Afghanistan,November 18 2020,43924
Afghanistan,November 19 2020,44177
Afghanistan,November 20 2020,44363
Afghanistan,November 21 2020,44503
Afghanistan,November 22 2020,44706
Afghanistan,November 23 2020,44988
Afghanistan,November 24 2020,45174
Afghanistan,November 25 2020,45384
Afghanistan,November 26 2020,45600
Afghanistan,November 27 2020,45723
Afghanistan,November 28 2020,45844
Afghanistan,November 29 2020,46116
Afghanistan,November 30 2020,46274
Afghanistan,December 1 2020,46516
Afghanistan,December 2 2020,46718
Afghanistan,December 3 2020,46837
Afghanistan,December 4 2020,46837
Afghanistan,December 5 2020,47072
Afghanistan,December 6 2020,47306
Afghanistan,December 7 2020,47516
Afghanistan,December 8 2020,47716
Afghanistan,December 9 2020,47851
Afghanistan,December 10 2020,48053
Afghanistan,December 11 2020,48116
Afghanistan,December 12 2020,48229
Afghanistan,December 13 2020,48527
Afghanistan,December 14 2020,48718
Afghanistan,December 15 2020,48952
Afghanistan,December 16 2020,49161
Afghanistan,December 17 2020,49378
Afghanistan,December 18 2020,49621
Afghanistan,December 19 2020,49681
Afghanistan,December 20 2020,49817
Afghanistan,December 21 2020,50013
Afghanistan,December 22 2020,50190
Afghanistan,December 23 2020,50433
Afghanistan,December 24 2020,50655
Afghanistan,December 25 2020,50810
Afghanistan,December 26 2020,50886
Afghanistan,December 27 2020,51039
Afghanistan,December 28 2020,51280
Afghanistan,December 29 2020,51350
Afghanistan,December 30 2020,51405
Afghanistan,December 31 2020,51526
Afghanistan,January 1 2021,51526
Afghanistan,January 2 2021,51526
Afghanistan,January 3 2021,51526
Afghanistan,January 4 2021,53011
Afghanistan,January 5 2021,53105
Afghanistan,January 6 2021,53105
Afghanistan,January 7 2021,53207
Afghanistan,January 8 2021,53332
Afghanistan,January 9 2021,53400
Afghanistan,January 10 2021,53489
Afghanistan,January 11 2021,53538
Afghanistan,January 12 2021,53584
Afghanistan,January 13 2021,53584
Afghanistan,January 14 2021,53775
Afghanistan,January 15 2021,53831
Afghanistan,January 16 2021,53938
Afghanistan,January 17 2021,53984
Afghanistan,January 18 2021,54062
Afghanistan,January 19 2021,54141
Afghanistan,January 20 2021,54278
Afghanistan,January 21 2021,54403
Afghanistan,January 22 2021,54483
Afghanistan,January 23 2021,54559
Afghanistan,January 24 2021,54595
Afghanistan,January 25 2021,54672
Afghanistan,January 26 2021,54750
Afghanistan,January 27 2021,54854
Afghanistan,January 28 2021,54891
Afghanistan,January 29 2021,54939
Afghanistan,January 30 2021,55008
Afghanistan,January 31 2021,55023
Afghanistan,February 1 2021,55059
Afghanistan,February 2 2021,55121
Afghanistan,February 3 2021,55174
